Time,Occupancy
oe be

2023-04-13 19:13:01
, 14
i

2023-04-13 19:18:34
, 15
2023-04-13 19:24:08
, 15
2023-04-13 19:29:41
, 18
2023-04-13 19:35:15
, 18
2023-04-13 19:40:48
, 18
2023-04-13 19:46:22
, 19
i

2023-04-13 19:51:55
, 16
2023-04-13 19:57:29
, 18
2023-04-13 20:03:02
, 19
a
2023-04-13 20:08:36
, 18
2023-04-13 20:14:09
, 20
