Time,Occupancy
, 2
, 1
, 2
, 3
, 5
, 3
, 4
, 7
, 5
, 4
, 4
, 4
, 5
, 5
, 4
, 4
, 4
, 3
ae
, 3
, 3
, 6
, 3
, 3
, 2
