Time,Occupancy
23-04-18 14:53:
, 11
23-04-18 14:54:
, 11
23-04-18 14:55:
, 13
23-04-18 14:56:
, 12
23-04-18 14:58:
, 14
23-04-18 14:59:
, 13
23-04-18 15:00:
, 13
23-04-18 15:01:
, 13
23-04-18 15:02:
, 9
23-04-18 15:03:
, 12
23-04-18 15:04:
, 14
23-04-18 15:05:
, 11
23-04-18 15:06:
, 14
23-04-18 15:08:
, 10
23-04-18 15:09:
, 8
23-04-18 15:10:
, 12
23-04-18 15:11:
, 12
23-04-18 15:12:
, 12
23-04-18 15:13:
, 13
23-04-18 15:14:
, 12
23-04-18 15:15:
, 12
23-04-18 15:16:
, 11
23-04-18 15:18:
, 14
23-04-18 15:19:
, 12
23-04-18 15:20:
, 11
23-04-18 15:21:
, 10
23-04-18 15:22!
, 13
23-04-18 15:23:
, 12
23-04-18 15:24:
, 15
23-04-18 15:25:
, 13
23-04-18 15:27:
, 13
23-04-18 15:28:
, 13
23-04-18 15:29:
, 12
23-04-18 15:30:
, 14
23-04-18 15:31:
, 11
23-04-18 15:32:
, 12
23-04-18 15:33:
, 15
23-04-18 15:34:
, 15
23-04-18 15:35:
, 9
23-04-18. 15:37:
, 10
23-04-18 15:38:
, 9
23-04-18 15:39:
, 11
23-04-18 15:40:
, 10
23-04-18 15:41:
, 10
23-04-18 15:42:
, 10
23-04-18 15:43:
, 13
23-04-18 15:44:
, 12
23-04-18 15:45:
, 11
23-04-18 15:47:
, 13
23-04-18 15:48:
, 13
23-04-18 15:49:
, 12
23-04-18 15:50:
, 15
23-04-18 15:51:
, 12
23-04-18. 15:52:
, 16
23-04-18 15:53:
, 14
23-04-18 15:54:
, 13
23-04-18 15:55:
, 14
23-04-18 15:57:
, 12
23-04-18 15:58:
, 13
23-04-18 15:59:
, 11
23-04-18. 16:00:
, 13
