Time,Occupancy
23-04-18 10:20:
, 11
23-04-18, 10:21:
, 17
23-04-18 10:22:
, 13
23-04-18 10:23:
, 12
23-04-18 10:24:
, 13
23-04-18 10:25:
, 13
23-04-18 10:27:
, 12
23-04-18 10:28:
, 15
23-04-18 10:29:
, 16
23-04-18 10:30:
, 16
23-04-18 10:31:
, 16
23-04-18 10:32:
, 13
, 12
23-04-18 10:34:
, 12
23-04-18 10:35:
, 11
23-04-18 10:37:
, 14
23-04-18 10:38:
, 12
23-04-18 10:39:
, 14
23-04-18 10:40:
, 10
23-04-18 10:41:
, 11
23-04-18 10:42:
, 13
23-04-18 10:43:
, 17
23-04-18 10:44:
, 14
23-04-18 10:45:
, 13
23-04-18 10:47:
, 13
23-04-18 10:48:
, 12
23-04-18 10:49:
, 14
23-04-18 10:50:
, 13
23-04-18 10:51:
, 11
23-04-18 10:52:
, 15
23-04-18 10:53:
, 11
23-04-18 10:54:
, 13
23-04-18 10:55:
, 15
23-04-18 10:57:
, 13
23-04-18 10:58:
, 14
23-04-18 10:59:
, 14
23-04-18 11:00:
, 18
23-04-18 11:01:
, 13
23-04-18 11:02:
, 13
23-04-18 11:03:
, 14
23-04-18 11:04:
, 11
23-04-18 11:06:
, 14
23-04-18 11:07:
, 12
23-04-18 11:08:
, 12
23-04-18 11:09:
, 12
23-04-18 11:10:
, 11
23-04-18 11:11:
, 14
23-04-18 11:12:
, 13
23-04-18 11:13:
, 17
23-04-18 11:14:
, 14
23-04-18 11:16:
, 14
23-04-18 11:17:
, 14
23-04-18 11:18:
, 12
23-04-18 11:19:
, 9
23-04-18 11:20:
, 11
23-04-18 11:21:
, 10
23-04-18 11:22:
, 9
23-04-18 11:23:
, 10
23-04-18 11:24:
, 13
23-04-18 11:26:
, 9
23-04-18 11:27:
, 11
