Time,Occupancy
23-04-17 23:45:
, 11
23-04-17 23:46:
, 13
23-04-17 23:47:
, 11
23-04-17 23:48:
, 11
23-04-17 23:49:
, 14
23-04-17 23:50:
, 10
23-04-17 23:51:
, 11
23-04-17 23:52:
, 11
23-04-17 23:53:
, 12
23-04-17 23:55:
, 7
23-04-17 23:56:
, 11
23-04-17 23:57:
, 11
23-04-17 23:58:
, 11
23-04-17 23:59:
, 13
23-04-18 00:00:
, 12
23-04-18 00:01:
, 13
23-04-18 00:02:
, 12
23-04-18 00:03:
, 11
23-04-18 00:05:
, 9
23-04-18 00:06:
, 12
23-04-18 00:07:
, 11
23-04-18 00:08:
, 11
23-04-18 00:09:
, 8
23-04-18 00:10:
, 9
23-04-18 00:11:
, 13
23-04-18 00:12:
, 10
23-04-18 00:13:
, 8
23-04-18 00:15:
, 10
23-04-18 00:16:
, 13
23-04-18 00:17:
, 11
23-04-18 00:18:
, 12
23-04-18 00:19:
, 10
23-04-18 00:20:
, 9
23-04-18 00:21:
, 12
23-04-18 00:22:
, 14
23-04-18 00:23:
, 12
23-04-18 00:25:
, 13
23-04-18 00:26:
, 13
23-04-18 00:27:
, 12
23-04-18 00:28:
, 11
23-04-18 00:29:
, 10
23-04-18 00:30:
, 14
23-04-18 00:31:
, 14
23-04-18 00:32:
, 15
23-04-18 00:34:
, 15
23-04-18 00:35:
, 13
23-04-18 00:36:
, 12
23-04-18 00:37:
, 11
23-04-18 00:38:
, 13
23-04-18 00:39:
, 12
23-04-18 00:40:
, 13
23-04-18 00:41:
, 10
23-04-18 00:42:
, 12
23-04-18 00:44:
, 11
23-04-18 00:45:
, 12
23-04-18 00:46:
, 12
23-04-18 00:47:
, 15
23-04-18 00:48:
, 12
23-04-18 00:49:
, 11
23-04-18 00:50:
, 13
23-04-18 00:51:
, 12
