Time,Occupancy
23-04-18 02:01:
, 9
23-04-18 02:02:
, 8
23-04-18 02:03:
, 9
23-04-18 02:04:
, 8
23-04-18 02:06:
, 9
23-04-18 02:07:
, 9
23-04-18 02:08:
, 8
23-04-18 02:09:
, 7
23-04-18 02:10:
, 8
23-04-18 02:11:
, 9
23-04-18 02:12:
, 10
23-04-18 02:13:
, 9
23-04-18 02:15:
, 8
23-04-18 02:16:
, 10
23-04-18 02:17:
, 8
23-04-18 02:18:
, 9
23-04-18 02:19:
, 9
23-04-18 02:20:
, 9
23-04-18 02:21:
, 8
23-04-18 02:22:
, 9
23-04-18 02:23:
, 7
23-04-18 02:25:
, 6
23-04-18 02:26:
, 8
23-04-18 02:27:
, 7
23-04-18 02:28:
, 8
23-04-18 02:29:
, 9
23-04-18 02:30:
, 8
23-04-18 02:31:
, 8
23-0418 02:32:
, 8
23-04-18 02:33:
, 7
23-04-18 02:35:
, 12
23-04-18 02:36:
, 10
23-04-18 02:37:
, 11
23-04-18 02:38:
, 8
23-04-18 02:39:
, 7
23-04-18 02:40:
, 8
23-04-18 02:41:
, 6
23-04-18 02:42:
, 6
23-04-18 02:43:
, 8
23-04-18 02:45:
, 7
23-04-18 02:46:
, 7
23-04-18 02:47:
, 8
23-04-18 02:48:
, 12
23-04-18 02:49:
, 7
23-04-18 02:50:
, 9
23-04-18 02:51:
, 7
23-04-18 02:52:
, 9
23-04-18 02:54:
, 6
23-04-18 02:55:
, 8
23-04-18 02:56:
, 10
23-04-18 02:57:
, 6
23-04-18 02:58:
, 7
23-04-18 02:59:
, 7
23-04-18 03:00:
, 10
23-04-18 03:01:
, 9
23-04-18 03:02:
, 8
23-04-18 03:04:
, 10
23-04-18 03:05:
, 8
23-04-18 '03:06:
, 10
23-04-18 (03:07:
, 8
23-04-18 03:08:
, 8
