Time,Occupancy
23-04-18 22:51:
, 12
23-04-18 22:52:
, 13
23-04-18 22:53:
, 12
23-04-18 22:55:
, 16
23-04-18 22:56:
, 13
23-04-18 22:57:
, 12
23-04-18 22:58:
, 10
23-04-18 22:59:
, 13
23-04-18 23:00:
, 13
23-04-18 23:01:
, 12
23-04-18 23:02:
, 12
23-04-18 23:03:
, 10
23-04-18 23:05:
, 10
23-04-18 23:06:
, 14
23-04-18 23:07:
, 11
23-04-18 23:08:
, 11
23-04-18 23:09:
, 14
23-04-18 23:10:
, 14
23-04-18) 23:11:
, 12
23-04-18 23:12:
, 11
23-04-18 23:13:
, 14
23-04-18 23:15:
, 13
23-04-18 23:16:
, 13
23-04-18 23:17:
, 9
23-04-18 23:18:
, 11
23-04-18 23:19:
, 10
23-04-18 23:20:
, 10
23-04-18 23:21:
, 10
23-04-18 23:22:
, 10
23-04-18 23:23:
, 11
23-04-18 23:25:
, 10
23-04-18 23:26:
, 9
23-04-18 23:27:
, 15
23-04-18 23:28:
, 12
23-04-18 23:29:
, 11
23-04-18 23:30:
, 12
23-04-18 23:31:
, 12
23-04-18 23:32:
, 13
23-04-18 23:33:
, 10
23-04-18 23:35:
, 14
23-04-18 23:36:
, 11
23-04-18 23:37:
, 11
23-04-18 23:38:
, 13
23-04-18 23:39:
, 11
23-04-18 23:40:
, 12
23-04-18 23:41:
, 13
23-04-18 23:42:
, 14
23-04-18 23:44:
, 13
23-04-18 23:45:
, 16
23-04-18 23:46:
, 12
23-04-18 23:47:
, 13
23-04-18 23:48:
, 15
23-04-18 23:49:
, 13
23-04-18 23:50:
, 13
23-04-18 23:51:
, 12
23-04-18 23:52:
, 11
23-04-18 23:54:
, 11
23-04-18 23:55:
, 11
23-04-18 23:56:
, 8
23-04-18 23:57:
, 11
23-04-18 23:58:
, 13
