Time,Occupancy
23-04-18 (03:10:
, 5
23-04-18 03:11:
, 9
23-04-18 03:12:
, 8
23-04-18 03:13:
, 6
23-04-18 03:14:
, 8
23-04-18 03:15:
, 5
23-04-18 03:16:
, 7
23-04-18 03:17:
, 7
23-04-18 03:18:
, 7
23-04-18 03:20:
, 5
23-04-18 03:21:
, 6
23-04-18 03:22:
, 8
23-04-18 03:23:
, 7
23-04-18 03:24:
, 5
23-04-18 03:25:
, 7
23-04-18 03:26:
, 8
23-04-18 03:27:
, 7
23-04-18 03:28:
, 11
23-04-18 03:30:
, 10
23-04-18 03:31:
, 8
23-04-18 03:32:
, 8
23-04-18 03:33:
, 7
23-04-18 03:34:
, 8
23-04-18 03:35:
, 8
23-04-18 03:36:
, 7
23-04-18 03:37:
, 8
23-04-18 03:38:
, 8
23-04-18 03:40:
, 8
23-04-18 03:41:
, 7
23-04-18 03:42:
, 8
23-04-18 03:43:
, 8
23-04-18 03:44:
, 7
23-04-18 03:45:
, 7
23-04-18 03:46:
, 8
23-04-18 03:47:
, 6
23-04-18 03:48:
, 8
23-04-18 03:50:
, 6
23-04-18 03:51:
, 6
23-04-18 03:52:
, 6
23-04-18 03:53:
, 8
23-04-18 03:54:
, 4
23-04-18 03:55:
, 5
23-04-18 03:56:
, 5
23-04-18 03:57:
, 6
23-04-18 03:58:
, 5
23-04-18 04:00:
, 3
23-04-18 04:01:
, 4
23-04-18 04:02:
, 5
23-04-18 04:03:
, 3
23-04-18 04:04:
, 1
23-04-18 04:05:
, 5
23-04-18 04:06:
, 4
23-04-18 (04:07:
, 4
23-04-18 04:08:
, 4
23-04-18 04:10:
, 4
23-04-18 04:11:
, 5
23-04-18 04:12:
, 4
23-04-18 04:13:
, 4
23-04-18 04:14:
, 3
23-04-18 (04:15:
, 4
23-04-18 (04:16:
, 5
