Time,Occupancy
2023-04-06 08:49:57
, 7
2023-04-06 08:51:10
, 7
2023-04-06 08:52:17
, 9
2023-04-06 08:53:24
, 10
7 a
2023-04-06 08:54:31
a
, 9
2023-04-06 08:55:37
, 10
2023-04-06 08:56:46
, 8
2023-04-06 08:57:52
, 12
2023-04-06 08:58:59
, 9
2023-04-06 09:00:06
, 10
2023-04-06 09:01:13
, 12
2023-04-06 09:02:19
, 12
2023-04-06 09:03:26
, 12
2023-04-06 09:04:33
, 10
2023-04-06 09:05:39
, 10
2023-04-06 09:06:46
, 11
2023-04-06 09:07:53
, 14
2023-04-06 09:09:00
, 9
2023-04-06 09:10:06
, 12
2023-04-06 09:11:13
, 13
2023-04-06 09:12:20
, 14
2023-04-06 09:13:27
, 13
2023-04-06 09:14:33
, 12
2023-04-06 09:15:40
, 12
2023-04-06 09:16:47
, 9
2023-04-06 09:17:54
, 11
2023-04-06 09:19:00
, 13
2023-04-06 09:20:07
, 8
2023-04-06 09:21:14
, 9
2023-04-06 09:22:21
, 11
2023-04-06 09:23:27
, 12
2023-04-06 09:24:34
, 11
2023-04-06 09:25:41
, 12
2023-04-06 09:26:48
, 12
2023-04-06 09:27:54
, 9
2023-04-06 09:29:01
, 12
2023-04-06 09:30:08
, 11
2023-04-06 09:31:15
, 9
2023-04-06 09:32:21
, 14
2023-04-06 09:33:28
, 13
2023-04-06 09:34:35
, 9
2023-04-06 09:35:42
, 12
2023-04-06 09:36:48
, 16
2023-04-06 09:37:55
, 13
2023-04-06 09:39:02
, 15
2023-04-06 09:40:09
, 15
2023-04-06 09:41:15
, 12
2023-04-06 09:42:22
, 11
2

uf

023-04:06 09:43:29

4

4
, 11
2023-04-06 09:44:36
, 11
2023-04-06 09:45:42
, 11
2023-04-06 09:46:49
, 11
2023-04-06 09:47:56
, 13
2023-04-06 09:49:03
, 11
2023-04-06 09:50:09
, 11
2023-04-06 09:51:16
, 13
2023-04-06 09:52:23
, 13
2023-04-06 09:53:30
, 13
2023-04-06 09:54:36
, 10
2023-04-06 09:55:43
, 11
2023-04-06 09:56:50
, 12
