Time,Occupancy
23-04-18 21:43:
, 11
23-04-18 21:44:
, 10
23-04-18 21:45:
, 10
23-04-18 21:46:
, 10
23-04-18 21:47:
, 10
23-04-18 21:48:
, 11
23-04-18 21:50:
, 11
23-04-18 21:51:
, 13
23-04-18 21:52:
, 14
, 11
23-04-18 21:54:
, 13
23-04-18 21:55:
, 14
23-04-18 21:56:
, 11
23-04-18 21:57:
, 12
23-04-18 21:59:
, 11
23-04-18 22:00:
, 11
23-04-18 22:01:
, 9
23-04-18 22:02:
, 11
23-04-18 22:03:
, 10
23-04-18 22:04:
, 11
23-04-18 22:05:
, 9
23-04-18 22:06:
, 11
23-04-18 22:07:
, 12
23-04-18 22:09:
, 9
23-04-18 22:10:
, 9
23-04-18 22:11:
, 10
23-04-18 22:12:
, 11
23-04-18 22:13:
, 10
23-04-18 22:14:
, 11
23-04-18 22:15:
, 15
23-04-18 22:16:
, 14
23-04-18 22:17:
, 14
23-04-18 22:19:
, 11
23-04-18 22:20:
, 13
23-04-18 22:21:
, 12
23-04-18 22:22:
, 10
23-04-18 22:23:
, 15
23-04-18 22:24:
, 13
23-04-18 22:25:
, 12
23-04-18 22:26:
, 12
23-04-18 22:27:
, 11
23-04-18 22:29:
, 11
23-04-18 22:30:
, 11
23-04-18 22:31
, 15
23-04-18 22:32:
, 11
23-04-18 22:33:
, 11
23-04-18 22:34:
, 12
23-04-18 22:35:
, 12
23-04-18 22:36:
, 16
23-04-18 22:37:
, 16
23-04-18 22:39:
, 12
23-04-18 22:40:
, 15
23-04-18 22:41:
, 13
23-04-18 22:42:
, 13
23-04-18 22:43:
, 12
23-04-18 22:44:
, 14
23-04-18 22:45:
, 12
23-04-18 22:46:
, 13
23-04-18 22:47:
, 12
23-04-18 22:49:
, 11
23-04-18 22:50:
, 13
