time, occupancy 
Thu Apr 20 13:04:29 2023, 0
Thu Apr 20 13:04:29 2023, 0
Thu Apr 20 13:04:29 2023, 0
Thu Apr 20 13:04:29 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:30 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:31 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:32 2023, 0
Thu Apr 20 13:04:33 2023, 0
Thu Apr 20 13:04:33 2023, 0
Thu Apr 20 13:04:33 2023, 0
Thu Apr 20 13:04:33 2023, 0
Thu Apr 20 13:04:33 2023, 0
Thu Apr 20 13:04:33 2023, 0
Thu Apr 20 13:04:33 2023, 0
