Time,Occupancy
23-04-18 19:26:
, 11
23-04-18 19:27:
, 13
23-04-18 19:29:
, 16
23-04-18 19:30:
, 13
23-04-18 19:31:
, 9
23-04-18 19:32:
, 11
23-04-18 19:33:
, 12
23-04-18 19:34:
, 13
23-04-18 19:35:
, 13
23-04-18 19:36:
, 12
23-04-18 19:37:
, 13
23-04-18 19:39:
, 13
23-04-18 19:40:
, 13
23-04-18 19:41:
, 15
23-04-18 19:42:
, 14
23-04-18 19:43:
, 11
23-04-18 19:44:
, 11
23-04-18 19:45:
, 12
23-04-18 19:46:
, 12
23-04-18 19:47:
, 11
23-04-18 19:49:
, 16
23-04-18 19:50:
, 13
23-04-18 19:51:
, 14
23-04-18 19:52:
, 11
23-04-18 19:53:
, 15
23-04-18 19:54:
, 12
23-04-18 19:55:
, 11
23-04-18 19:56:
, 10
23-04-18 19:57:
, 10
23-04-18 19:59:
, 10
23-04-18 20:00:
, 9
23-04-18 ) 20:01:
, 12
23-04-18 20:02:
, 11
23-04-18 20:03:
, 13
23-04-18 20:04:
, 10
23-04-18 20:05:
, 10
23-04-18 20:06:
, 10
23-04-18) 20:07:
, 11
23-04-18 20:09:
, 14
23-04-18 20:10:
, 11
23-04-18 20:11:
, 16
23-04-18 20:12:
, 13
23-04-18 20:13:
, 11
23-04-18 20:14:
, 11
23-04-18 20:15:
, 9
23-04-18 20:16:
, 11
23-04-18 20:18:
, 11
23-04-18 20:19:
, 9
23-04-18 20:20:
, 11
23-04-18 20:21:
, 10
23-04-18 20:22:
, 11
23-04-18 20:23:
, 9
23-04-18 20:24:
, 11
23-04-18 20:25:
, 13
23-04-18 20:26:
, 11
23-04-18 20:28:
, 9
23-04-18 20:29:
, 15
23-04-18 20:30:
, 11
23-04-18 20:31:
, 9
23-04-18 20:32:
, 12
23-04-18 20:33:
, 12
