Time,Occupancy
23-04-18 (08:03:
, 6
23-04-18 08:04:
, 4
23-04-18 (08:06:
, 5
23-04-18 08:07:
, 7
23-04-18 08:08:
, 6
23-04-18 08:09:
, 6
23-04-18 (08:10:
, 7
23-04-18 08:11:
, 6
23-04-18 08:12:
, 5
23-04-18 (08:13:
, 7
23-04-18 08:14:
, 6
23-04-18 08:16:
, 6
23-04-18 08:17:
, 3
23-04-18 (08:18:
, 4
23-04-18 08:19:
, 6
23-04-18 08:20:
, 4
23-04-18 08:21:
, 5
23-04-18 08:22:
, 4
23-04-18 08:23:
, 4
23-04-18 08:24:
, 3
23-04-18 (08:26:
, 7
23-04-18 08:27:
, 7
23-04-18 08:28:
, 6
23-04-18 08:29:
, 5
23-04-18 08:30:
, 5
23-04-18 08:31:
, 9
23-04-18 08:32:
, 8
23-04-18 08:33:
, 6
23-04-18 08:34:
, 9
23-04-18 08:36:
, 10
23-04-18 08:37:
, 10
23-04-18 08:38:
, 9
23-04-18 08:39:
, 10
23-04-18 08:40:
, 11
23-04-18 08:41:
, 10
23-04-18 08:42:
, 9
23-04-18 08:43:
, 8
23-04-18 08:44:
, 9
23-04-18 08:46:
, 10
23-04-18 (08:47:
, 10
23-04-18 08:48:
, 12
23-04-18 08:49:
, 8
23-04-18 (08:50:
, 11
23-04-18 08:51:
, 9
23-04-18 08:52:
, 7
23-04-18 08:53:
, 9
23-04-18 08:54:
, 10
23-04-18 08:56:
, 8
23-04-18 08:57:
, 8
23-04-18 (08:58:
, 9
23-04-18 08:59:
, 8
23-04-18 09:00:
, 10
23-04-18 09:01:
, 11
23-04-18 09:02:
, 6
23-04-18 09:03:
, 8
23-04-18 09:04:
, 7
23-04-18 09:06:
, 10
23-04-18 09:07:
, 9
23-04-18 09:08:
, 9
23-04-18 09:09:
, 8
23-04-18 09:10:
, 8
