Time,Occupancy
23-04-18 18:18:
, 6
23-04-18 18:19:
, 7
23-04-18 18:20:
, 9
23-04-18 18:21:
, 7
23-04-18 18:22:
, 5
23-04-18 18:24:
, 7
23-04-18 18:25:
, 6
23-04-18 18:26:
, 9
23-04-18 18:27:
, 5
23-04-18 18:28:
, 9
23-04-18 18:29:
, 10
23-04-18 18:30:
, 9
23-04-18 18:31:
, 10
23-04-18 18:32:
, 8
23-04-18 18:34:
, 9
23-04-18 18:35:
, 10
23-04-18 18:36:
, 9
23-04-18 18:37:
, 10
23-04-18 18:38:
, 9
23-04-18 18:39:
, 14
23-04-18 18:40:
, 15
23-04-18 18:41:
, 12
23-04-18 18:43:
, 13
23-04-18 18:44:
, 14
23-04-18 18:45:
, 11
23-04-18 18:46:
, 12
23-04-18 18:47:
, 14
23-04-18 18:48:
, 11
23-04-18 18:49:
, 11
23-04-18 18:50:
, 8
23-04-18 18:51:
, 12
23-04-18 18:53:
, 12
23-04-18 18:54:
, 12
23-04-18 18:55:
, 11
23-04-18 18:56:
, 13
23-04-18 18:57:
, 12
23-04-18 18:58:
, 12
23-04-18 18:59:
, 13
23-04-18 19:00:
, 11
23-04-18 19:01:
, 15
23-04-18 19:03:
, 13
23-04-18 19:04:
, 11
23-04-18 19:05:
, 13
23-04-18 19:06:
, 13
23-04-18 19:07:
, 15
23-04-18 19:08:
, 15
23-04-18 19:09:
, 10
23-04-18 19:10:
, 16
23-04-18 19:11:
, 13
23-04-18 19:13:
, 13
23-04-18 19:14:
, 13
23-04-18 19:15:
, 10
23-04-18 19:16:
, 15
23-04-18 19:17:
, 11
23-04-18 19:18:
, 13
23-04-18 19:19:
, 14
23-04-18 19:20:
, 13
23-04-18, 19:21:
, 12
23-04-18 19:23:
, 16
23-04-18 19:24:
, 12
23-04-18 19:25:
, 13
