Time,Occupancy
23-04-18 16:01:
, 13
23-04-18 16:03:
, 13
23-04-18 16:04:
, 10
23-04-18 16:05:
, 11
23-04-18 16:06:
, 11
23-04-18 16:07:
, 10
23-04-18 16:08:
, 10
23-04-18 16:09:
, 11
23-04-18 16:10:
, 9
23-04-18 16:11:
, 11
23-04-18 16:13:
, 11
23-04-18 16:14:
, 11
23-04-18 16:15:
, 13
23-04-18 16:16:
, 14
23-04-18 16:17:
, 15
23-04-18 16:18:
, 12
23-04-18 16:19:
, 13
23-04-18 16:20:
, 11
23-04-18 16:21:
, 12
23-04-18 16:23:
, 10
23-04-18 16:24:
, 11
23-04-18 16:25:
, 13
23-04-18 16:26:
, 10
23-04-18 16:27:
, 9
23-04-18 16:28:
, 10
23-04-18 16:29:
, 11
23-04-18 16:30:
, 12
23-04-18 16:31:
, 10
23,04-18 16:33:
“D
, 10
23-04-18 16:34:
, 13
23-04-18 16:35:
, 12
23-04-18 16:36:
, 17
23-04-18 16:37:
, 13
23-04-18 16:38:
, 14
23-04-18 16:39:
, 9
23-04-18 16:40:
, 11
23-04-18 16:41:
, 12
23-04-18 16:43:
, 10
23-04-18 16:44:
, 10
23-04-18 16:45:
, 11
23-04-18 16:46:
, 12
23-04-18 16:47:
, 13
23-04-18 16:48:
, 9
23-04-18 16:49:
, 9
23-04-18 16:50:
, 13
23-04-18 16:51:
, 11
23-04-18 16:53:
, 10
23-04-18 16:54:
, 15
23-04-18 16:55:
, 12
23-04-18 16:56:
, 15
23-04-18 16:57:
, 12
23-04-18 16:58:
, 13
23-04-18 16:59:
, 14
23-04-18 17:00:
, 11
23-04-18 17:02:
, 9
23-04-18 17:03:
, 8
23-04-18 17:04:
, 7
23-04-18 17:05:
, 11
23-04-18 17:06:
, 9
23-04-18 17:07:
, 9
23-04-18 17:08:
, 9
