Time,Occupancy
23-04-18 11:28:
, 8
23-04-18 11:29:
, 8
23-04-18 11:30:
, 7
23-04-18 11:32:
, 8
23-04-18 11:33:
, 6
23-04-18 11:34:
, 10
23-04-13@411:35:
, 9
23-04-18 11:36:
, 12
23-04-18 11:37:
, 7
23-04-18 11:38:
, 5
23-04-18 11:39:
, 5
23-04-18 11:40:
, 8
23-04-18 11:42:
, 8
23-04-18 11:43:
, 9
23-04-18 11:44:
, 10
23-04-18 11:45:
, 9
23-04-18 11:46:
, 7
23-04-18 11:47:
, 9
23-04-18 11:48:
, 7
23-04-18 11:49:
, 7
23-04-18 11:50:
, 8
23-04-18 11:52:
, 11
23-04-18 11:53:
, 9
23-04-18 11:54:
, 10
23-04-18 11:55:
, 11
23-04-18 11:56:
, 11
23-04-18 11:57:
, 8
23-04-18 11:58:
, 11
23-04-18 11:59:
, 9
23-04-18 12:00:
, 9
23-04-18 12:02:
, 10
23-04-18 12:03:
, 7
23-04-18 12:04:
, 10
23-04-18 12:05:
, 9
23-04-18 12:06:
, 9
23-04-18 12:07:
, 10
23-04-18 12:08:
, 8
23-04-18 12:09:
, 9
23-04-18 12:10:
, 8
23-04-18 12:12:
, 9
23-04-18 12:13:
, 9
23-04-18 12:14:
, 10
23-04-18 12:15:
, 8
23-04-18 12:16:
, 8
23-04-18 12:17:
, 10
23-04-18 12:18:
, 12
23-04-18 12:19:
, 11
23-04-18 12:20:
, 9
23-04-18 12:22:
, 9
23-04-18 12:23:
, 11
23-04-18 12:24:
, 11
23-04-18 12:25:
, 9
23-04-18 12:26:
, 15
23-04-18, 12:27:
, 12
23-04-18 12:28:
, 9
23-04-18 12:29:
, 11
23-04-18 12:30:
, 10
23-04-18 12:32:
, 15
23-04-18 12:33:
, 12
23-04-18) 12:34:
, 10
23-04-18 12:35:
, 14
