Time,Occupancy
23-04-18 09:12:
, 9
23-04-18 (09:13:
, 11
23-04-18 09:14:
, 11
23-04-18 09:15:
, 8
23-04-18 09:16:
, 12
23-04-18 09:17:
, 9
23-04-18 (09:18:
, 10
23-04-18 09:19:
, 10
23-04-18 09:21:
, 12
23-04-18 09:22:
, 10
23-04-18 09:23:
, 10
23-04-18 09:24:
, 12
23-04-18 09:25:
, 14
23-04-18 09:26:
, 13
23-04-18 09:27:
, 11
23-04-18 09:28:
, 11
23-04-18 09:29:
, 10
23-04-18 09:31:
, 9
23-04-18 09:32:
, 14
23-04-18 09:33:
, 11
23-04-18 09:34:
, 11
23-04-18 09:35:
, 12
23-04-18 09:36:
, 14
23-04-18 09:37:
, 10
23-04-18 09:38:
, 11
23-04-18 09:39:
, 11
23-04-18 09:41:
, 9
23-04-18 09:42:
, 9
23-04-18 09:43:
, 8
23-04-18 09:44:
, 10
23-04-18 09:45:
, 8
23-04-18 09:46:
, 11
23-04-18 09:47:
, 12
23-04-18 09:48:
, 12
23-04-18 09:49:
, 10
23-04-18 09:51:
, 14
23-04-18 09:52:
, 12
23-04-18 09:53:
, 12
23-04-18 09:54:
, 11
23-04-18 09:55:
, 13
23-04-18 09:56:
, 15
23-04-18 09:57:
, 13
23-04-18 09:58:
, 17
23-04-18 09:59:
, 11
23-04-18 10:01:
, 16
23-04-18 10:02:
, 12
23-04-18 10:03:
, 10
23-04-18 10:04:
, 13
23-04-18 10:05:
, 14
23-04-18 10:06:
, 11
23-04-18 10:07:
, 12
23-04-18 10:08:
, 11
23-04-18 10:09:
, 11
23-04-18 10:11:
, 12
23-04-18 10:12:
, 12
23-04-18 10:13:
, 16
23-04-18 10:14:
, 14
23-04-18 10:15:
, 13
23-04-18 10:16:
, 12
23-04-18 10:17:
, 13
23-04-18 10:18:
, 14
