Time,Occupancy
2023-04-05 15:46:19
, 21
2023-04-05 15:47:26
, 19
2023-04-05 15:48:33
, 22
2023-04-05 15:49:39
, 19
2023-04-05 15:50:46
, 19
2023-04-05 15:51:53
, 16
2023-04-05 15:53:00
, 17
2023-04-05 15:54:06
, 17
2023-04-05 15:55:13
, 18
2023-04-05 15:56:20
, 13
2023-04-05 15:57:27
, 16
2023-04-05 15:58:33
, 14
2023-04-05 15:59:40
, 14
2023-04-05 16:00:47
, 14
2023-04-05 16:01:54
, 14
2023-04-05 16:03:00
, 19
2023-04-05 16:04:07
, 16
2023-04-05 16:05:14
, 15
2023-04-05 16:06:21
, 15
2023-04-05 16:07:27
, 19
2023-04-05 16:08:34
, 20
2023-04-05 16:09:41
, 18
2023-04-05 16:10:48
, 19
2023-04-05 16:11:54
, 15
2023-04-05 16:13:01
, 17
2023-04-05 16:14:08
, 18
2023-04-05 16:15:15
, 19
2023-04-05 16:16:21
, 18
2023-04-05 16:17:28
, 19
2023-04-05 16:18:35
, 20
2023-04-05 16:19:42
, 20
2023-04-05 16:20:48
, 22
2023-04-05 16:21:55
, 19
2023-04-05 16:23:02
, 15
2023-04-05 16:24:09
, 18
2023-04-05 16:25:15
, 17
2023-04-05 16:26:22
, 21
2023-04-05 16:27:29
, 16
2023-04-05 16:28:36
, 20
2023-04-05 16:29:42
, 20
2023-04-05 16:30:49
, 16
2023-04-05 16:31:56
, 17
2023-04-05 16:33:03
, 18
2023-04-05 16:34:09
, 16
2023-04-05 16:35:16
, 17
2023-04-05 16:36:23
, 18
2023-04-05 16:37:30
, 19
2023-04-05 16:38:36
, 18
2023-04-05 16:39:43
, 18
2023-04:05 16:40:50
, 18
2023-04105 16:41:57
, 18
2023-04-05 16:43:03
, 22
2023-04105 16:44:10
, 20
2023-04-05 16:45:17
, 16
2023-04-05 16:46:24
, 16
2023-04-05 16:47:30
, 14
2023-04-05 16:48:37
, 15
2023-04-05 16:49:44
, 20
2023-04-05 16:50:50
, 15
2023-04-05 16:51:57
, 12
2023-04-05 16:53:04
, 10
