Time,Occupancy
23-04-18 04:18:
, 3
23-04-18 04:19:
, 5
23-04-18 (04:20:
, 5
23-04-18 04:21:
, 4
23-04-18 (04:22:
, 6
23-04-18 (04:24:
, 3
23-04-18 (04:25:
, 5
23-04-18 (04:26:
, 4
23-04-18 (04:27:
, 4
23-04-18 (04:28:
, 4
23-04-18 (04:30:
, 5
23-04-18 (04:31:
, 4
23-04-18 04:32:
, 6
23-04-18 (04:33:
, 4
23-04-18 (04:34:
, 4
23-04-18 (04:35:
, 4
23-04-18 (04:36:
, 3
23-04-18 (04:37:
, 3
23-04-18 (04:39:
, 3
23-04-18 (04:40:
, 5
23-04-18 (04:41:
, 5
23-04-18 (04:42:
, 4
23-04-18 (04:43:
, 4
23-04-18 (04:44:
, 4
23-04-18 (04:45:
, 3
23-04-18 (04:46:
, 3
23-04-18 (04:47:
, 5
23-04-18 (04:49:
, 3
23-04-18 (04:50:
, 3
23-04-18 (04:51
, 3
23-04-18 (04:52:
, 2
23-04-18 (04:53:
, 3
23-04-18 (04:54:
, 4
23-04-18 04:55:
, 3
23-04-18 04:56:
, 4
23-04-18 (04:58:
, 3
23-04-18 (04:59:
, 3
23-04-18 (05:00:
, 4
23-04-18 05:01:
, 3
23-04-18 (05:02:
, 3
23-04-18 (05:03:
, 0
23-04-18 (05:05:
, 1
23-04-18 05:06:
, 0
23-04-18 05:08:
, 0
23-04-18 05:09:
, 1
23-04-18 (05:10:
, 2
23-04-18) 05:11:
, 0
23-04-18 (05:13:
, 1
23-04-18 05:14:
, 1
23-04-18) 05:21:
, 1
\5.
23-04-18, 05:24:
, 0
23-04-18 05:27:
, 1
23-04-18 05:28:
, 0
23-04-18) (05:28:
, 2
23-04-18) 05:30:
, 1
23-04-18) 05:31:
, 0
23-04-18 (05:32:
, 3
23-04-18 (05:33:
, 0
23-04-18 05:35:
, 1
23-04-18 (05:36:
, 1
23-04-18 (05:37:
, 2
