Time,Occupancy
2023-04-06 01:23:57
, 9
2023-04-06 01:25:04
, 11
2023-04-06 01:26:11
, 10
2023-04-06 01:27:17
, 11
2023-04-06 01:28:24
, 10
2023-04-06 01:29:31
, 8
2023-04-06 01:30:48
, 14
2023-04-06 01:31:55
, 9
2023-04-06 01:33:01
, 10
2023-04-06 01:34:08
, 12
2023-04-06 01:35:15
, 10
2023-04-06 01:36:22
, 10
2023-04-06 01:37:28
, 10
2023-04-06 01:38:35
, 12
2023-04-06 01:39:42
, 10
2023-04-06 01:40:49
, 10
2023-04-06 01:41:55
, 12
2023-04-06 01:43:02
, 11
2023-04-06 01:44:09
, 10
2023-04-06 01:45:16
, 7
2023-04-06 01:46:22
, 8
2023-04-06 01:47:29
, 10
2023-04-06 01:48:36
, 8
2023-04-06 01:49:43
, 10
2023-04-06 01:50:49
, 7
2023-04-06 01:51:56
, 8
2023-04-06 01:53:03
, 9
2023-04-06 01:54:16
, 9
2023-04-06 01:55:22
, 8
2023-04-06 01:56:29
, 9
2023-04-06 01:57:36
, 9
2023-04-06 01:58:43
, 6
2023-04-06 01:59:49
, 6
2023-04-06 02:01:02
, 7
2023-04-06 02:02:09
, 11
2023-04-06 02:03:15
, 8
2023-04-06 02:04:22
, 6
2023-04-06 02:05:29
, 6
2023-04-06 02:06:36
, 6
2023-04-06 02:07:44
, 6
2023-04-06 02:09:21
, 6
2023-04-06 02:10:28
, 5
2023-04-06 02:11:35
, 7
2023-04-06 02:12:41
, 6
2023-04-06 02:13:48
, 5
2023-04-06 02:14:55
, 4
2023-04-06 02:16:02
, 6
2023-04-06 02:17:35
, 6
2023-04-06 02:18:42
, 5
2023-04-06 02:19:49
, 6
2023-04-06 02:20:59
, 5
2023-04-06 02:22:06
, 4
2023-04-06 02:23:12
, 6
2023-04-06 02:24:19
, 5
2023-04-06 02:25:26
, 6
2023-04-06 02:26:33
, 5
2023-04-06 02:27:39
, 7
2023-04-06 02:29:18
, 6
2023-04-06 02:30:24
, 6
2023-04-06 02:31:31
, 5
2023-04-06 02:32:38
, 6
