Time,Occupancy
23-04-18) 13:45:
, 14
23-04-18, 13:46:
, 12
23-04-18, 13:47:
, 12
23-04-18) 13:48:
, 12
23-04-18, 13:49:
, 10
23-04-18) 13:50:
, 10
23-04-18) 13:51:
, 13
23-04-18) 13:53:
, 11
23-04-18, 13:54:
, 13
23-04-18, 13:55:
, 12
23-04-18, 13:56:
, 13
23-04-18, 13:57:
, 13
23-04-18 13:58:
, 11
23-04-18 13:59:
, 11
23-04-18, 14:00:
, 12
23-04-18, 14:01:
, 11
23-04-18 14:03:
, 12
23-04-18 14:04:
, 12
23-04-18 14:05:
, 15
23-04-18 14:06:
, 12
23-04-18. 14:07:
, 13
23-04-18 14:08:
, 12
23-04-18 14:09:
, 13
23-04-18 14:10:
, 11
23-04-18 14:12:
, 14
23-04-18 14:13:
, 14
23-04-18 14:14:
, 11
23-04-18 14:15:
, 13
23-04-18 14:16:
, 12
23-04-18 14:17:
, 15
23-04-18 14:18:
, 10
23-04-18 14:19:
, 11
23-04-18 14:20:
, 13
23-04-18 14:22:
, 14
23-04-18 14:23:
, 11
23-04-18 14:24:
, 15
23-04-18 14:25:
, 11
23-04-18 14:26:
, 14
23-04-18. 14:27:
, 13
23-04-18 14:28:
, 17
23-04-18 14:29:
, 10
23-04-18 14:30:
, 12
23-04-18 14:32:
, 15
23-04-18 14:33:
, 16
23-04-18 14:34:
, 15
23-04-18 14:35:
, 10
23-04-18 14:36:
, 13
23-04-18. 14:37:
, 15
23-04-18 14:38:
, 13
23-04-18 14:39:
, 14
23-04-18 14:40:
, 11
23-04-18 14:42:
, 10
23-04-18 14:43:
, 10
23-04-18 14:44:
, 11
23-04-18 14:45:
, 15
23-04-18 14:46:
, 10
23-04-18 14:47:
, 13
23-04-18 14:48:
, 13
23-04-18 14:49:
, 14
23-04-18 14:50:
, 12
23-04-18 14:52:
, 10
