Time,Occupancy
23-04-18 06:55:
, 2
23-04-18 06:56:
, 3
23-04-18 06:57:
, 4
23-04-18 06:58:
, 4
23-04-18 06:59:
, 3
23-04°18 (07:00:
, 2
23-04-18 (07:01
, 3
, 2
23-04-18) 07:04:
, 2
23-04°18 (07:05:
, 2
23-04-18) (07:06:
, 2
17:07:
, 3
23-04-18) (07:08:
, 3
07:09:
, 3
23-04-18) (07:10:
, 3
23-04°18 (07:12:
, 4
23-04-18 (07:13:
, 4
23-04-18 (07:14:
, 4
, 3
23-04-18 (07:16:
, 5
, 2
23-04-18 (07:18:
, 1
23-04-18 07:19:
, 2
23-04-18 07:20:
, 2
23-04-18 07:22:
, 2
23-04-18 07:23:
, 4
23-04-18 07:24:
, 2
23-04-18 07:25:
, 2
23-04-18 07:26:
, 3
23-04-18 07:27:
, 3
23-04-18 07:28:
, 4
23-04-18 07:29:
, 4
23-04-18 07:30:
, 4
23-04-18 07:32:
, 2
23-04-18 07:33:
, 3
23-04-18 07:34:
, 3
23-04-18 07:35:
, 2
23-04-18 07:36:
, 3
23-04-18 (07:37:
, 2
23-04-18 07:38:
, 3
23-04-18 07:39:
, 2
23-04-18 07:40:
, 3
23-04-18 07:42:
, 2
23-04-18 07:43:
, 2
23-04-18 07:44:
, 4
23-04-18 07:45:
, 3
23-04-18 07:46:
, 2
23-04-18 07:47:
, 3
23-04-18 07:48:
, 5
23-04-18 07:49:
, 5
23-04-18 07:50:
, 3
23-04-18 07:52:
, 3
23-04-18 07:53:
, 2
23-04-18 07:54:
, 4
23-04-18 07:55:
, 3
23-04-18 (07:56:
, 4
23-04-18 (07:57:
, 3
23-04-18 (07:58:
, 4
23-04-18 07:59:
, 5
23-04-18 08:01:
, 6
23-04-18 (08:02:
, 4
